xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.65320,0.42736,0.07861,0.29499,0.00546,0.00454,0.01405,0.71083,0.00951,0.16484,0.07421,0.00666,0.00487,0.00502,3,3
0.10237,0.63866,0.94150,0.17307,0.00176,0.00099,0.00085,0.00102,0.00076,0.00076,0.00078,0.00075,0.99121,0.00113,8,8
0.28077,0.44748,0.69612,0.54944,0.06045,0.10173,0.43215,0.02551,0.02004,0.02947,0.03386,0.01642,0.25670,0.02365,2,8
0.26619,0.48722,0.77537,0.31432,0.06748,0.05536,0.07567,0.06310,0.01629,0.01768,0.01403,0.01366,0.56372,0.11301,8,0
0.41796,0.73798,0.44226,0.84743,0.00331,0.00350,0.00785,0.00586,0.00515,0.00374,0.96126,0.00293,0.00309,0.00331,6,6
0.45518,0.54646,0.24681,0.62772,0.00292,0.00251,0.00543,0.12071,0.00414,0.00598,0.84832,0.00397,0.00323,0.00280,6,6
0.67479,0.28231,0.23247,0.11016,0.00262,0.01827,0.00374,0.95348,0.00294,0.00807,0.00302,0.00272,0.00232,0.00284,3,1
0.47638,0.98854,0.43813,0.87788,0.00149,0.00125,0.00231,0.00251,0.00177,0.00155,0.98524,0.00120,0.00129,0.00140,6,6
0.57307,0.42582,0.10012,0.25245,0.00340,0.00212,0.00557,0.94211,0.02428,0.00899,0.00546,0.00338,0.00234,0.00235,3,3
0.34287,0.38490,0.87365,0.39116,0.00600,0.74094,0.00582,0.00537,0.00445,0.00523,0.00817,0.00481,0.00688,0.21234,1,1
0.52477,0.71630,0.33944,0.50668,0.10114,0.00547,0.01248,0.01964,0.72988,0.09854,0.00964,0.00923,0.00771,0.00628,4,0
0.93906,0.39767,0.80459,0.36900,0.00221,0.00318,0.00166,0.00176,0.00152,0.00164,0.00161,0.00172,0.00229,0.98241,9,9
0.88194,0.26573,0.06722,0.08608,0.00093,0.00075,0.00127,0.98822,0.00143,0.00340,0.00128,0.00109,0.00080,0.00083,3,5
0.54914,0.05122,0.46049,0.41740,0.00167,0.00145,0.00192,0.00221,0.00275,0.00307,0.00152,0.98228,0.00150,0.00164,7,7
0.76273,0.49928,0.81433,0.33476,0.01845,0.02032,0.01384,0.01407,0.01462,0.01327,0.01471,0.01960,0.12875,0.74237,9,9
0.44550,0.52046,0.35006,0.35811,0.01737,0.00958,0.01581,0.65377,0.02294,0.02180,0.16874,0.01103,0.06800,0.01096,3,8
0.63523,0.26881,0.07714,0.07940,0.00148,0.00119,0.00199,0.97539,0.00201,0.00837,0.00186,0.00508,0.00127,0.00137,3,5
0.65841,0.13163,0.45140,0.41183,0.00134,0.00118,0.00155,0.00196,0.00243,0.00251,0.00116,0.98538,0.00116,0.00134,7,7
0.22393,0.54257,0.85583,0.31621,0.01904,0.00387,0.00413,0.00494,0.00346,0.00325,0.01007,0.00332,0.94349,0.00442,8,8
0.49428,0.97107,0.43662,0.88441,0.00126,0.00118,0.00217,0.00222,0.00167,0.00146,0.98646,0.00113,0.00122,0.00123,6,6
0.76866,0.40447,0.61165,0.31914,0.02044,0.08744,0.01922,0.07697,0.03062,0.02564,0.01674,0.20021,0.01931,0.50341,9,7
0.37030,0.50620,0.46832,0.66949,0.48498,0.00490,0.43021,0.03581,0.00752,0.00809,0.00749,0.00582,0.00923,0.00597,0,0
0.49920,0.45024,0.20119,0.65567,0.01247,0.00845,0.11600,0.41079,0.13461,0.02299,0.26288,0.01188,0.01010,0.00983,3,4
0.92329,0.45519,0.80673,0.37397,0.00211,0.00305,0.00157,0.00167,0.00153,0.00149,0.00155,0.00162,0.00213,0.98327,9,9
0.57323,0.46538,0.15770,0.31636,0.00729,0.00569,0.01357,0.69284,0.22482,0.02310,0.00889,0.01083,0.00674,0.00622,3,5
0.51424,0.34995,0.11002,0.51912,0.00632,0.00348,0.35176,0.57069,0.02033,0.02144,0.01256,0.00524,0.00399,0.00419,3,2
0.56072,0.52347,0.23233,0.54949,0.00401,0.00322,0.00620,0.06475,0.88343,0.00894,0.01669,0.00569,0.00354,0.00353,4,4
0.54591,0.40675,0.23097,0.28760,0.02274,0.00437,0.00847,0.89770,0.01510,0.01294,0.01721,0.00564,0.00505,0.01077,3,0
0.78576,0.39033,0.47820,0.39891,0.01896,0.02034,0.12930,0.21426,0.01691,0.02297,0.01599,0.04479,0.01439,0.50210,9,9
0.45536,0.65896,0.41792,0.90417,0.00393,0.00296,0.01513,0.00586,0.00890,0.00395,0.94995,0.00309,0.00310,0.00312,6,6
0.43918,0.73020,0.38809,0.81637,0.00195,0.00195,0.00341,0.00747,0.00374,0.00267,0.97307,0.00187,0.00191,0.00195,6,6
0.75876,0.67378,0.17215,0.16720,0.00117,0.00117,0.00260,0.00491,0.00176,0.98270,0.00138,0.00201,0.00112,0.00117,5,5
0.53572,0.42878,0.12860,0.39067,0.00649,0.00384,0.05051,0.81650,0.08594,0.01402,0.00712,0.00625,0.00502,0.00431,3,4
0.46505,0.67447,0.30944,0.71997,0.00351,0.00317,0.01178,0.01809,0.00482,0.02442,0.92346,0.00360,0.00379,0.00336,6,5
0.82581,0.53405,0.82486,0.35593,0.00235,0.00322,0.00166,0.00182,0.00156,0.00161,0.00166,0.00175,0.00338,0.98099,9,9
0.73418,0.33710,0.19073,0.15204,0.00284,0.00199,0.00849,0.96115,0.00325,0.00722,0.00310,0.00269,0.00704,0.00223,3,2
0.56976,0.18315,0.41846,0.46323,0.00315,0.00266,0.00394,0.00437,0.02853,0.00734,0.00289,0.94140,0.00272,0.00300,7,4
0.25188,0.37040,0.83751,0.34342,0.00261,0.97183,0.00216,0.00285,0.00202,0.00240,0.00225,0.00210,0.00407,0.00771,1,1
0.90948,0.54613,0.81415,0.37325,0.00184,0.00271,0.00135,0.00146,0.00125,0.00130,0.00146,0.00141,0.00191,0.98531,9,9
0.76971,0.65760,0.23633,0.11903,0.00139,0.00135,0.00202,0.00510,0.00197,0.98000,0.00156,0.00222,0.00302,0.00137,5,5
0.46046,0.38129,0.31961,0.75699,0.02031,0.00552,0.77424,0.03812,0.12373,0.01052,0.00835,0.00757,0.00600,0.00565,2,4
0.54397,0.97949,0.42803,0.88465,0.00108,0.00104,0.00195,0.00222,0.00145,0.00131,0.98777,0.00100,0.00108,0.00110,6,6
0.83122,0.75135,0.17203,0.13699,0.00098,0.00101,0.00158,0.00410,0.00144,0.98599,0.00115,0.00180,0.00095,0.00101,5,5
0.46576,0.93443,0.43567,0.87637,0.00132,0.00128,0.00234,0.00240,0.00175,0.00164,0.98540,0.00123,0.00131,0.00133,6,6
0.18741,0.82723,0.70663,0.53567,0.99027,0.00097,0.00156,0.00103,0.00089,0.00080,0.00084,0.00086,0.00171,0.00108,0,0
0.85579,0.57240,0.76221,0.30855,0.00196,0.00266,0.00140,0.00381,0.00132,0.00154,0.00139,0.00147,0.00225,0.98219,9,9
0.52012,0.53022,0.15087,0.50284,0.01103,0.00857,0.04485,0.49439,0.07392,0.09880,0.23687,0.01211,0.00931,0.01016,3,3
0.21878,0.27978,0.83514,0.35677,0.00161,0.98480,0.00135,0.00171,0.00124,0.00138,0.00139,0.00128,0.00196,0.00328,1,9
0.54463,0.17711,0.39882,0.40658,0.00283,0.00245,0.00354,0.00430,0.01236,0.01336,0.00259,0.95335,0.00247,0.00275,7,7
0.45879,0.92442,0.43445,0.87363,0.00134,0.00131,0.00238,0.00245,0.00182,0.00173,0.98500,0.00126,0.00134,0.00136,6,6
0.36589,0.78416,0.46319,0.84595,0.00207,0.00197,0.00334,0.00344,0.00254,0.00234,0.97729,0.00183,0.00200,0.00319,6,9
0.52358,0.60967,0.39056,0.56680,0.01433,0.01008,0.02567,0.11219,0.63186,0.01883,0.11155,0.01397,0.04089,0.02062,4,8
0.64290,0.43891,0.05840,0.19031,0.00543,0.00462,0.03049,0.58324,0.01119,0.34119,0.00777,0.00700,0.00445,0.00462,3,0
0.54579,0.34014,0.10221,0.34934,0.00516,0.00335,0.11069,0.82746,0.00852,0.02644,0.00594,0.00498,0.00371,0.00375,3,3
0.15554,0.51088,0.92367,0.19333,0.00305,0.00149,0.00129,0.00138,0.00115,0.00126,0.00118,0.00114,0.98637,0.00168,8,8
0.30355,0.50223,0.74369,0.45390,0.01014,0.00464,0.13858,0.00753,0.00539,0.00720,0.00631,0.00431,0.81040,0.00549,8,8
0.60748,0.27230,0.14377,0.15844,0.00382,0.00297,0.00599,0.85060,0.00575,0.01330,0.00427,0.10674,0.00315,0.00343,3,7
0.57886,0.25283,0.14898,0.14050,0.00634,0.00500,0.00922,0.22929,0.01022,0.25376,0.00637,0.46868,0.00520,0.00591,7,7
0.58661,0.14424,0.45143,0.41138,0.00171,0.00144,0.00195,0.00259,0.00346,0.00313,0.00147,0.98099,0.00159,0.00167,7,4
0.53165,0.42732,0.10802,0.39955,0.00764,0.00519,0.08747,0.75657,0.06443,0.04544,0.01358,0.00806,0.00581,0.00581,3,6
0.54508,0.24657,0.38738,0.49560,0.01130,0.01031,0.01601,0.01958,0.01868,0.07442,0.07828,0.74976,0.01035,0.01131,7,7
0.72508,0.66184,0.16420,0.16737,0.00118,0.00119,0.00222,0.00594,0.00175,0.98137,0.00196,0.00203,0.00115,0.00121,5,3
