xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.43028,0.58834,0.83311,0.72913,0.00245,0.00183,0.01180,0.34981,0.00988,0.01614,0.59178,0.00198,0.00315,0.01117,6,3
0.36575,0.23312,0.04669,0.37372,0.00556,0.00589,0.00109,0.00086,0.00250,0.00226,0.00055,0.00004,0.97763,0.00363,8,8
0.28200,0.38295,0.49938,0.21929,0.07028,0.01636,0.43740,0.01993,0.03445,0.02481,0.02723,0.00330,0.35797,0.00828,2,8
0.33082,0.37594,0.42305,0.47544,0.08742,0.01282,0.05825,0.12317,0.03156,0.02183,0.02614,0.00321,0.57616,0.05945,8,0
0.33116,0.49215,0.67913,0.39059,0.00876,0.00289,0.04554,0.06070,0.26591,0.01318,0.57601,0.00675,0.01216,0.00809,6,6
0.42016,0.58760,0.81390,0.71575,0.00312,0.00178,0.01149,0.34844,0.01290,0.01284,0.58884,0.00234,0.00348,0.01475,6,6
0.75701,0.44730,0.21900,0.60492,0.01122,0.81718,0.00332,0.00473,0.00117,0.06188,0.02296,0.01386,0.02474,0.03893,1,1
0.33021,0.48366,0.63099,0.40588,0.00591,0.00359,0.02304,0.04024,0.25891,0.01140,0.63167,0.00611,0.01025,0.00889,6,6
0.53607,0.67838,0.79130,0.85823,0.00237,0.00005,0.00247,0.97257,0.00371,0.00910,0.00390,0.00164,0.00135,0.00284,3,3
0.55798,0.29603,0.30271,0.62506,0.01437,0.04557,0.00262,0.01990,0.00292,0.00247,0.02283,0.03728,0.00977,0.84227,9,1
0.55813,0.50926,0.53295,0.66767,0.03189,0.01022,0.02838,0.39975,0.02322,0.43865,0.00962,0.02178,0.03226,0.00425,5,0
0.58453,0.10139,0.17335,0.73344,0.00195,0.00345,0.00008,0.00308,0.00017,0.00005,0.00127,0.00292,0.00224,0.98480,9,9
0.61249,0.46927,0.53812,0.69233,0.00041,0.00239,0.00479,0.08538,0.00728,0.88568,0.00305,0.00496,0.00571,0.00035,5,5
0.50509,0.88123,0.35825,0.41891,0.00186,0.00166,0.00182,0.00133,0.00385,0.00356,0.00014,0.98262,0.00002,0.00314,7,7
0.28411,0.22812,0.06915,0.36893,0.00407,0.00259,0.00109,0.00130,0.00496,0.00184,0.00062,0.00004,0.97895,0.00455,8,9
0.37400,0.44906,0.58179,0.45129,0.01571,0.02097,0.02423,0.02576,0.03256,0.00741,0.82175,0.00187,0.03016,0.01959,6,8
0.58400,0.54637,0.64541,0.80708,0.00166,0.00120,0.00721,0.63849,0.00655,0.32168,0.00542,0.01040,0.00476,0.00265,3,5
0.55209,0.67104,0.78080,0.87566,0.00196,0.00004,0.00171,0.97568,0.00380,0.00682,0.00385,0.00155,0.00115,0.00344,3,7
0.29553,0.28116,0.15755,0.36878,0.00646,0.00526,0.00291,0.00283,0.01005,0.00419,0.00279,0.00008,0.95938,0.00605,8,8
0.82088,0.67855,0.78271,0.48177,0.00028,0.00226,0.00309,0.00276,0.00217,0.00076,0.98641,0.00018,0.00046,0.00162,6,6
0.40299,0.79241,0.44409,0.64808,0.01927,0.00568,0.00754,0.11465,0.01391,0.01585,0.00353,0.69884,0.00107,0.11965,7,7
0.31195,0.82041,0.91375,0.03850,0.00544,0.00020,0.98644,0.00150,0.00121,0.00108,0.00195,0.00125,0.00085,0.00007,2,0
0.06477,0.56715,0.50822,0.14474,0.01431,0.00113,0.13947,0.01557,0.72694,0.02285,0.01668,0.00978,0.05176,0.00152,4,4
0.55391,0.10203,0.18271,0.73794,0.00195,0.00336,0.00008,0.00330,0.00017,0.00006,0.00134,0.00289,0.00222,0.98464,9,9
0.07350,0.37302,0.36666,0.20087,0.00118,0.00008,0.00193,0.00200,0.98294,0.00252,0.00228,0.00346,0.00334,0.00026,4,5
0.24483,0.72507,0.86473,0.20837,0.00456,0.00087,0.93797,0.01318,0.00438,0.02453,0.00618,0.00505,0.00305,0.00023,2,2
0.19013,0.42568,0.45432,0.34012,0.00219,0.00009,0.00323,0.01566,0.95637,0.00605,0.00524,0.00523,0.00522,0.00072,4,4
0.44643,0.45841,0.68287,0.46053,0.06923,0.02163,0.05124,0.03969,0.01984,0.00429,0.75720,0.00479,0.01101,0.02110,6,0
0.61239,0.28361,0.10169,0.67009,0.00554,0.04431,0.00027,0.00295,0.00037,0.00044,0.00411,0.00535,0.01159,0.92505,9,9
0.38324,0.48636,0.86462,0.32951,0.00208,0.00387,0.09112,0.00871,0.00712,0.00329,0.87877,0.00114,0.00180,0.00209,6,6
0.42440,0.60725,0.85178,0.74213,0.00408,0.00104,0.01326,0.58245,0.01029,0.01241,0.35783,0.00230,0.00323,0.01311,3,6
0.74630,0.36159,0.46568,0.58701,0.00006,0.00449,0.00269,0.00529,0.00122,0.98113,0.00080,0.00272,0.00155,0.00004,5,5
0.26076,0.61489,0.76868,0.35093,0.02776,0.00100,0.41835,0.22941,0.18557,0.04398,0.05057,0.02058,0.01900,0.00378,2,4
0.54460,0.49936,0.64602,0.62744,0.00346,0.00697,0.04154,0.30883,0.02404,0.53435,0.04581,0.01068,0.02085,0.00345,5,5
0.49349,0.10334,0.16913,0.73676,0.00185,0.00308,0.00007,0.00311,0.00016,0.00005,0.00118,0.00254,0.00239,0.98555,9,9
0.15214,0.82254,0.90928,0.05048,0.00347,0.00025,0.98561,0.00181,0.00159,0.00181,0.00281,0.00159,0.00098,0.00010,2,2
0.08721,0.37184,0.37452,0.20875,0.00118,0.00007,0.00196,0.00220,0.98247,0.00264,0.00241,0.00341,0.00339,0.00027,4,4
0.58089,0.24236,0.17135,0.71497,0.00323,0.00578,0.00012,0.00351,0.00023,0.00008,0.00170,0.00389,0.00306,0.97839,9,1
0.58651,0.17153,0.17032,0.73069,0.00200,0.00360,0.00008,0.00309,0.00017,0.00006,0.00130,0.00288,0.00240,0.98442,9,9
0.79810,0.28620,0.44032,0.61540,0.00004,0.00274,0.00146,0.00465,0.00098,0.98635,0.00037,0.00220,0.00118,0.00003,5,5
0.26450,0.48801,0.59913,0.52375,0.01526,0.00043,0.02153,0.38602,0.47448,0.03751,0.02271,0.01970,0.01610,0.00625,4,4
0.43626,0.52476,0.80519,0.58841,0.00157,0.00284,0.01090,0.04551,0.00629,0.00396,0.91767,0.00100,0.00198,0.00830,6,6
0.62869,0.45328,0.57146,0.69821,0.00027,0.00207,0.00541,0.06779,0.00282,0.91186,0.00171,0.00465,0.00319,0.00022,5,5
0.78333,0.62681,0.77656,0.48051,0.00032,0.00257,0.00342,0.00299,0.00236,0.00087,0.98496,0.00021,0.00053,0.00178,6,6
0.80782,0.14399,0.38964,0.38914,0.98869,0.00124,0.00282,0.00141,0.00067,0.00005,0.00016,0.00124,0.00235,0.00136,0,0
0.56674,0.04344,0.17204,0.74002,0.00177,0.00310,0.00007,0.00290,0.00015,0.00005,0.00115,0.00265,0.00204,0.98612,9,9
0.54708,0.60822,0.66932,0.71269,0.00485,0.00052,0.01120,0.81424,0.04116,0.09069,0.01478,0.00752,0.01043,0.00462,3,3
0.37375,0.18990,0.05294,0.38600,0.00309,0.00255,0.00078,0.00091,0.00237,0.00149,0.00040,0.00002,0.98471,0.00369,8,9
0.40483,0.91089,0.33837,0.39608,0.00163,0.00115,0.00157,0.00128,0.00802,0.00347,0.00015,0.98009,0.00002,0.00262,7,7
0.84210,0.70332,0.78395,0.48168,0.00026,0.00218,0.00290,0.00257,0.00204,0.00071,0.98721,0.00017,0.00043,0.00152,6,6
0.57335,0.29709,0.37741,0.68366,0.00396,0.01373,0.00085,0.01493,0.00144,0.00041,0.07366,0.00452,0.00535,0.88115,9,9
0.33820,0.48312,0.61794,0.38424,0.00371,0.00470,0.01881,0.01935,0.12200,0.00712,0.80142,0.00215,0.01294,0.00781,6,8
0.54449,0.61454,0.62009,0.73586,0.00601,0.00056,0.00801,0.84593,0.03701,0.05888,0.01119,0.01239,0.00933,0.01068,3,0
0.56691,0.58367,0.66015,0.76943,0.00293,0.00083,0.00920,0.75630,0.01385,0.18919,0.00760,0.01078,0.00591,0.00341,3,3
0.35232,0.26647,0.08991,0.35658,0.01617,0.00333,0.00175,0.00141,0.00365,0.00144,0.00044,0.00004,0.96823,0.00354,8,8
0.26466,0.36236,0.43214,0.19611,0.02625,0.00694,0.24100,0.00990,0.01904,0.01898,0.00703,0.00080,0.66624,0.00383,8,8
0.43396,0.84895,0.36300,0.45828,0.00187,0.00578,0.00567,0.00651,0.01542,0.07907,0.00056,0.88245,0.00022,0.00244,7,7
0.41307,0.76984,0.62276,0.75267,0.01252,0.00106,0.00933,0.68810,0.01727,0.03488,0.00520,0.19845,0.00109,0.03210,3,7
0.41904,0.79402,0.50705,0.61271,0.00640,0.00403,0.01226,0.12181,0.03079,0.12494,0.00299,0.68437,0.00082,0.01158,7,4
0.48409,0.69746,0.83668,0.88358,0.00173,0.00008,0.00256,0.96623,0.00248,0.00836,0.01234,0.00116,0.00115,0.00390,3,6
0.40493,0.90725,0.35331,0.38769,0.00200,0.00141,0.00226,0.00170,0.01090,0.00487,0.00021,0.97370,0.00004,0.00290,7,7
0.50057,0.58219,0.71506,0.65697,0.00904,0.00151,0.04655,0.71372,0.02310,0.14188,0.01491,0.03652,0.00582,0.00695,3,3
0.46367,0.65313,0.80635,0.82256,0.00343,0.00034,0.00598,0.91738,0.00568,0.01549,0.03857,0.00266,0.00238,0.00808,3,6
0.57378,0.40200,0.56332,0.52935,0.00961,0.07452,0.09506,0.10512,0.02144,0.47956,0.13834,0.02221,0.04275,0.01138,5,3
0.47793,0.50740,0.79198,0.54969,0.00074,0.00294,0.00686,0.01610,0.00485,0.00317,0.96010,0.00052,0.00128,0.00342,6,6
0.19799,0.80243,0.93324,0.03748,0.00283,0.00019,0.98808,0.00147,0.00131,0.00140,0.00262,0.00127,0.00075,0.00007,2,2
0.33043,0.19085,0.05223,0.36523,0.00329,0.00368,0.00094,0.00078,0.00251,0.00225,0.00044,0.00002,0.98351,0.00257,8,1
0.10400,0.82465,0.90729,0.05148,0.00352,0.00027,0.98513,0.00185,0.00165,0.00188,0.00292,0.00170,0.00099,0.00010,2,2
0.55265,0.44475,0.53565,0.46011,0.00250,0.03237,0.07832,0.03160,0.01163,0.78575,0.01999,0.01582,0.02056,0.00145,5,3
0.08756,0.47007,0.35807,0.21856,0.00227,0.00015,0.00284,0.00286,0.96948,0.00348,0.00222,0.01382,0.00233,0.00055,4,7
0.15472,0.57734,0.67630,0.11987,0.01589,0.00192,0.89986,0.00775,0.01048,0.01044,0.00751,0.00188,0.04338,0.00091,2,2
0.46064,0.67053,0.85221,0.86323,0.00201,0.00015,0.00354,0.93741,0.00344,0.00802,0.03665,0.00128,0.00137,0.00614,3,6
0.22839,0.26987,0.08256,0.35065,0.00281,0.00194,0.00107,0.00085,0.00263,0.00180,0.00034,0.00002,0.98653,0.00201,8,8
