xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.17727,0.71370,0.97811,0.05665,0.00171,0.00003,0.00112,0.98558,0.00130,0.00528,0.00212,0.00098,0.00060,0.00128,3,3
0.54683,0.05199,0.04088,0.13279,0.00330,0.00219,0.00085,0.00075,0.00229,0.00174,0.00032,0.00001,0.98608,0.00246,8,8
0.59358,0.18418,0.03489,0.13005,0.00275,0.00201,0.00075,0.00064,0.00205,0.00166,0.00028,0.00001,0.98768,0.00216,8,8
0.05274,0.47334,0.27389,0.13051,0.98685,0.00066,0.00409,0.00226,0.00048,0.00001,0.00010,0.00128,0.00272,0.00154,0,0
0.85808,0.15836,0.61810,0.98334,0.00020,0.00150,0.00311,0.00270,0.00175,0.00070,0.98765,0.00015,0.00044,0.00179,6,6
0.73680,0.16499,0.62341,0.98884,0.00019,0.00140,0.00278,0.00259,0.00163,0.00065,0.98843,0.00014,0.00041,0.00178,6,6
0.88359,0.72883,0.07105,0.47840,0.00077,0.98354,0.00169,0.00005,0.00002,0.00369,0.00166,0.00178,0.00271,0.00409,1,1
0.73677,0.10574,0.62044,0.99440,0.00018,0.00145,0.00291,0.00237,0.00150,0.00062,0.98884,0.00013,0.00039,0.00160,6,6
0.18452,0.74205,0.97307,0.05427,0.00172,0.00003,0.00107,0.98538,0.00135,0.00538,0.00210,0.00097,0.00064,0.00137,3,3
0.93342,0.81675,0.06250,0.49398,0.00066,0.98676,0.00132,0.00003,0.00001,0.00260,0.00143,0.00132,0.00228,0.00358,1,1
0.08081,0.59055,0.27005,0.13287,0.98611,0.00075,0.00342,0.00249,0.00054,0.00001,0.00011,0.00162,0.00272,0.00223,0,0
0.72110,0.93183,0.24159,0.44623,0.00324,0.00355,0.00001,0.00140,0.00085,0.00019,0.00173,0.00208,0.00181,0.98514,9,9
0.67970,0.39179,0.33822,0.06933,0.00002,0.00248,0.00427,0.00649,0.00263,0.97724,0.00054,0.00354,0.00253,0.00027,5,5
0.39036,0.08599,0.17149,0.19663,0.00205,0.00166,0.00158,0.00123,0.00319,0.00295,0.00010,0.98468,0.00001,0.00255,7,7
0.59934,0.95455,0.23549,0.44666,0.00295,0.00311,0.00000,0.00122,0.00076,0.00016,0.00148,0.00185,0.00160,0.98687,9,9
0.57562,0.38670,0.28465,0.54670,0.02569,0.04247,0.02049,0.02292,0.03498,0.01417,0.24151,0.00082,0.52506,0.07190,8,8
0.78665,0.34246,0.38255,0.04448,0.00001,0.00202,0.00279,0.00505,0.00102,0.98495,0.00032,0.00235,0.00136,0.00014,5,5
0.25583,0.11998,0.17029,0.19521,0.00202,0.00153,0.00136,0.00114,0.00289,0.00252,0.00009,0.98587,0.00001,0.00257,7,7
0.55813,0.05438,0.03908,0.13228,0.00322,0.00216,0.00083,0.00072,0.00224,0.00170,0.00031,0.00001,0.98638,0.00241,8,8
0.92849,0.24367,0.61548,0.97402,0.00023,0.00161,0.00331,0.00296,0.00193,0.00077,0.98656,0.00017,0.00049,0.00197,6,6
0.24474,0.11975,0.16909,0.19815,0.00207,0.00154,0.00118,0.00115,0.00292,0.00239,0.00009,0.98557,0.00001,0.00306,7,7
0.03150,0.49407,0.27584,0.13188,0.98674,0.00069,0.00397,0.00233,0.00049,0.00001,0.00010,0.00146,0.00253,0.00168,0,0
0.40333,0.89806,0.03642,0.38910,0.00049,0.00001,0.00173,0.00133,0.98832,0.00169,0.00135,0.00215,0.00197,0.00096,4,4
0.73552,0.91846,0.23904,0.44409,0.00340,0.00367,0.00001,0.00146,0.00092,0.00020,0.00179,0.00219,0.00192,0.98445,9,9
0.77830,0.33120,0.37817,0.04250,0.00001,0.00192,0.00278,0.00511,0.00110,0.98490,0.00032,0.00226,0.00146,0.00014,5,5
0.34675,0.37127,0.33812,0.34015,0.00936,0.00193,0.96141,0.00446,0.00716,0.00431,0.00469,0.00521,0.00146,0.00002,2,2
0.56145,0.71436,0.18771,0.36967,0.00155,0.00004,0.00337,0.00984,0.96204,0.00486,0.00513,0.00475,0.00454,0.00388,4,4
0.09311,0.54376,0.27065,0.13653,0.98500,0.00083,0.00389,0.00263,0.00059,0.00001,0.00013,0.00173,0.00293,0.00226,0,0
0.62437,0.89369,0.23453,0.45063,0.00276,0.00315,0.00000,0.00113,0.00069,0.00015,0.00145,0.00174,0.00154,0.98739,9,9
0.93757,0.26262,0.61330,0.97124,0.00024,0.00168,0.00344,0.00302,0.00197,0.00080,0.98615,0.00018,0.00051,0.00202,6,6
0.79775,0.19635,0.62256,0.98252,0.00020,0.00148,0.00301,0.00273,0.00171,0.00069,0.98778,0.00015,0.00043,0.00181,6,6
0.76968,0.31426,0.37486,0.04765,0.00001,0.00217,0.00293,0.00494,0.00106,0.98455,0.00034,0.00238,0.00147,0.00015,5,5
0.43340,0.83284,0.03059,0.36914,0.00067,0.00002,0.00237,0.00174,0.98312,0.00268,0.00168,0.00195,0.00447,0.00130,4,4
0.75719,0.30278,0.37061,0.04769,0.00001,0.00214,0.00294,0.00493,0.00112,0.98451,0.00034,0.00232,0.00155,0.00015,5,5
0.71679,0.95040,0.24039,0.44349,0.00331,0.00344,0.00001,0.00142,0.00087,0.00019,0.00169,0.00209,0.00182,0.98517,9,9
0.13077,0.26591,0.32775,0.37256,0.00412,0.00148,0.98496,0.00125,0.00174,0.00179,0.00254,0.00137,0.00076,0.00000,2,2
0.30090,0.85304,0.04923,0.39432,0.00059,0.00002,0.00210,0.00162,0.98592,0.00205,0.00172,0.00260,0.00224,0.00115,4,4
0.79398,0.72555,0.09799,0.49538,0.00429,0.83549,0.00064,0.00038,0.00018,0.00423,0.00633,0.00650,0.00857,0.13340,1,1
0.70229,0.94640,0.23901,0.44450,0.00322,0.00342,0.00001,0.00137,0.00084,0.00018,0.00165,0.00203,0.00178,0.98549,9,9
0.70205,0.32523,0.36427,0.05310,0.00001,0.00236,0.00322,0.00517,0.00127,0.98307,0.00037,0.00272,0.00163,0.00017,5,5
0.27833,0.91074,0.04626,0.39421,0.00055,0.00002,0.00195,0.00151,0.98682,0.00188,0.00157,0.00268,0.00193,0.00109,4,4
0.80570,0.23592,0.62048,0.98161,0.00020,0.00153,0.00305,0.00272,0.00170,0.00070,0.98768,0.00015,0.00044,0.00183,6,6
0.72560,0.32313,0.37181,0.04827,0.00001,0.00213,0.00291,0.00504,0.00116,0.98421,0.00034,0.00262,0.00142,0.00016,5,5
0.85695,0.15996,0.61915,0.98275,0.00020,0.00149,0.00311,0.00272,0.00175,0.00070,0.98765,0.00015,0.00044,0.00179,6,6
0.10696,0.50176,0.27172,0.13794,0.98441,0.00086,0.00425,0.00270,0.00061,0.00001,0.00013,0.00172,0.00311,0.00219,0,0
0.74743,0.91740,0.24034,0.44285,0.00351,0.00374,0.00001,0.00151,0.00094,0.00021,0.00181,0.00228,0.00193,0.98408,9,9
0.71044,0.62778,0.89053,0.32606,0.00254,0.00042,0.00711,0.88684,0.00671,0.02158,0.06456,0.00245,0.00243,0.00536,3,3
0.60045,0.34829,0.09549,0.21663,0.03687,0.01873,0.00195,0.00414,0.00608,0.00305,0.00236,0.00028,0.87680,0.04975,8,9
0.42748,0.09159,0.17278,0.19880,0.00211,0.00177,0.00168,0.00132,0.00345,0.00323,0.00012,0.98360,0.00001,0.00271,7,7
0.81478,0.15781,0.62143,0.98546,0.00020,0.00143,0.00298,0.00266,0.00170,0.00067,0.98804,0.00015,0.00042,0.00175,6,6
0.57404,0.97134,0.24299,0.44874,0.00297,0.00318,0.00000,0.00128,0.00076,0.00016,0.00158,0.00186,0.00163,0.98658,9,9
0.53650,0.09916,0.03938,0.13478,0.00307,0.00214,0.00084,0.00074,0.00239,0.00182,0.00033,0.00001,0.98622,0.00245,8,8
0.60917,0.42053,0.29344,0.17630,0.00557,0.02422,0.23592,0.04106,0.04025,0.41745,0.00689,0.22092,0.00549,0.00222,5,0
0.15399,0.70724,0.97735,0.05351,0.00179,0.00003,0.00110,0.98594,0.00129,0.00497,0.00204,0.00095,0.00061,0.00128,3,3
0.55154,0.06633,0.04002,0.13328,0.00322,0.00217,0.00085,0.00074,0.00232,0.00176,0.00032,0.00001,0.98617,0.00244,8,8
0.48179,0.02395,0.04543,0.13929,0.00364,0.00245,0.00097,0.00086,0.00267,0.00200,0.00039,0.00001,0.98419,0.00282,8,8
0.32958,0.18530,0.16847,0.19632,0.00187,0.00152,0.00152,0.00117,0.00327,0.00293,0.00010,0.98521,0.00001,0.00240,7,7
0.42884,0.24111,0.28199,0.14651,0.00180,0.00209,0.00324,0.00717,0.00720,0.01872,0.00029,0.95547,0.00004,0.00398,7,7
0.43672,0.29702,0.20443,0.16780,0.00140,0.00387,0.01427,0.02009,0.10469,0.23438,0.00181,0.61105,0.00090,0.00755,7,4
0.75664,0.63269,0.89358,0.40299,0.00287,0.00057,0.00862,0.81416,0.00763,0.01808,0.13631,0.00245,0.00243,0.00688,3,6
0.38458,0.12839,0.17222,0.19643,0.00196,0.00175,0.00163,0.00122,0.00309,0.00313,0.00010,0.98463,0.00001,0.00247,7,7
0.71309,0.50023,0.54742,0.02305,0.00003,0.00131,0.00362,0.03921,0.00191,0.94729,0.00089,0.00305,0.00229,0.00040,5,3
0.70499,0.14380,0.62858,0.99603,0.00017,0.00130,0.00264,0.00242,0.00150,0.00059,0.98927,0.00013,0.00037,0.00161,6,6
0.82785,0.62282,0.59124,0.18673,0.01311,0.05196,0.04177,0.42401,0.00739,0.32862,0.03789,0.03107,0.03381,0.03038,3,3
0.84192,0.16830,0.62051,0.98278,0.00020,0.00148,0.00306,0.00272,0.00174,0.00069,0.98771,0.00015,0.00044,0.00180,6,6
0.08265,0.36773,0.32764,0.37714,0.00454,0.00156,0.98354,0.00137,0.00196,0.00186,0.00281,0.00156,0.00079,0.00001,2,2
0.91392,0.80933,0.06320,0.49047,0.00072,0.98593,0.00143,0.00004,0.00002,0.00275,0.00151,0.00131,0.00260,0.00369,1,1
0.07903,0.31192,0.32688,0.37624,0.00407,0.00160,0.98436,0.00128,0.00180,0.00194,0.00271,0.00146,0.00078,0.00000,2,2
0.39229,0.73309,0.92619,0.03401,0.00094,0.00007,0.00184,0.96577,0.00192,0.02304,0.00249,0.00154,0.00107,0.00133,3,3
0.28676,0.16656,0.16662,0.19537,0.00191,0.00146,0.00143,0.00112,0.00308,0.00264,0.00009,0.98588,0.00001,0.00237,7,7
0.26613,0.40269,0.32180,0.29217,0.01046,0.00396,0.94986,0.00602,0.00674,0.00908,0.00506,0.00341,0.00537,0.00004,2,2
0.81365,0.14841,0.62304,0.98546,0.00020,0.00141,0.00299,0.00267,0.00170,0.00067,0.98807,0.00014,0.00042,0.00173,6,6
0.56688,0.13344,0.03825,0.12959,0.00292,0.00209,0.00081,0.00068,0.00213,0.00173,0.00030,0.00001,0.98712,0.00222,8,8
0.54172,0.07092,0.04066,0.13217,0.00315,0.00222,0.00085,0.00073,0.00223,0.00179,0.00032,0.00001,0.98630,0.00239,8,8
0.12163,0.61233,0.25154,0.15434,0.97870,0.00141,0.00324,0.00331,0.00083,0.00002,0.00020,0.00232,0.00465,0.00532,0,0
0.10581,0.38353,0.32583,0.37426,0.00457,0.00172,0.98214,0.00150,0.00220,0.00221,0.00302,0.00174,0.00089,0.00001,2,2
0.57452,0.88432,0.23560,0.44886,0.00300,0.00328,0.00000,0.00127,0.00080,0.00017,0.00161,0.00182,0.00178,0.98626,9,9
0.26232,0.70871,0.94774,0.06331,0.00240,0.00004,0.00143,0.98207,0.00171,0.00601,0.00256,0.00123,0.00086,0.00170,3,3
0.67908,0.55642,0.67853,0.02198,0.00014,0.00111,0.00579,0.22886,0.00361,0.74793,0.00243,0.00599,0.00300,0.00115,5,3
0.57962,0.12193,0.03722,0.12918,0.00292,0.00204,0.00079,0.00068,0.00211,0.00168,0.00029,0.00001,0.98726,0.00222,8,8
0.60382,0.12136,0.03567,0.13023,0.00291,0.00205,0.00077,0.00067,0.00212,0.00167,0.00029,0.00001,0.98726,0.00226,8,8
0.94703,0.74403,0.06659,0.49721,0.00074,0.98558,0.00130,0.00004,0.00002,0.00263,0.00160,0.00144,0.00239,0.00426,1,1
0.81761,0.83190,0.06779,0.49007,0.00077,0.98521,0.00154,0.00004,0.00002,0.00292,0.00160,0.00151,0.00253,0.00387,1,1
0.38642,0.09723,0.17378,0.19733,0.00226,0.00175,0.00168,0.00129,0.00321,0.00292,0.00011,0.98413,0.00001,0.00263,7,7
0.20638,0.26418,0.32456,0.36843,0.00368,0.00132,0.98609,0.00116,0.00169,0.00176,0.00228,0.00133,0.00068,0.00000,2,2
0.69379,0.30234,0.36339,0.04920,0.00001,0.00221,0.00292,0.00457,0.00109,0.98479,0.00032,0.00251,0.00142,0.00015,5,5
0.44068,0.52613,0.75486,0.16987,0.02378,0.00124,0.19660,0.70493,0.00969,0.02888,0.01899,0.01061,0.00447,0.00082,3,2
0.26155,0.13676,0.16781,0.19239,0.00188,0.00138,0.00135,0.00107,0.00284,0.00243,0.00008,0.98670,0.00001,0.00226,7,7
0.51180,0.04759,0.04315,0.13516,0.00337,0.00232,0.00091,0.00079,0.00244,0.00189,0.00035,0.00001,0.98534,0.00259,8,8
0.71179,0.92863,0.24052,0.44631,0.00319,0.00352,0.00001,0.00137,0.00084,0.00019,0.00170,0.00204,0.00179,0.98535,9,9
0.10546,0.50890,0.27207,0.13893,0.98433,0.00087,0.00428,0.00273,0.00062,0.00001,0.00013,0.00180,0.00303,0.00221,0,0
0.30331,0.64934,0.96660,0.08938,0.00201,0.00004,0.00148,0.98257,0.00162,0.00577,0.00320,0.00108,0.00073,0.00150,3,3
0.53990,0.09401,0.04051,0.13422,0.00310,0.00222,0.00085,0.00074,0.00233,0.00185,0.00033,0.00001,0.98613,0.00245,8,8
0.90024,0.21340,0.61816,0.97811,0.00022,0.00153,0.00320,0.00285,0.00185,0.00073,0.98712,0.00016,0.00046,0.00188,6,6
0.38620,0.88304,0.03941,0.39034,0.00049,0.00001,0.00177,0.00137,0.98804,0.00176,0.00140,0.00228,0.00191,0.00097,4,4
0.93761,0.53934,0.75411,0.80101,0.00069,0.00128,0.00703,0.03399,0.00399,0.00282,0.94517,0.00048,0.00100,0.00354,6,6
0.90500,0.40592,0.56421,0.92642,0.00042,0.00189,0.00544,0.00459,0.00547,0.00139,0.97636,0.00035,0.00096,0.00313,6,6
0.03161,0.54945,0.27084,0.13253,0.98650,0.00072,0.00372,0.00236,0.00051,0.00001,0.00011,0.00150,0.00268,0.00190,0,0
0.08625,0.53388,0.27175,0.13669,0.98501,0.00082,0.00392,0.00264,0.00059,0.00001,0.00013,0.00177,0.00285,0.00225,0,0
0.43096,0.07010,0.17054,0.19619,0.00199,0.00158,0.00152,0.00122,0.00324,0.00290,0.00010,0.98490,0.00001,0.00254,7,7
0.39349,0.77906,0.04635,0.36739,0.00102,0.00004,0.00271,0.00221,0.97598,0.00290,0.00158,0.01010,0.00144,0.00202,4,4
0.78303,0.40129,0.40088,0.04156,0.00001,0.00183,0.00279,0.00641,0.00114,0.98347,0.00036,0.00236,0.00147,0.00016,5,5
0.94181,0.24634,0.61550,0.97339,0.00023,0.00160,0.00337,0.00296,0.00195,0.00077,0.98652,0.00017,0.00049,0.00194,6,6
0.22795,0.69098,0.96565,0.06924,0.00213,0.00004,0.00127,0.98401,0.00150,0.00522,0.00252,0.00106,0.00072,0.00153,3,3
0.80179,0.83842,0.06866,0.48902,0.00079,0.98486,0.00157,0.00004,0.00002,0.00299,0.00164,0.00156,0.00258,0.00395,1,1
0.85740,0.84493,0.06503,0.49084,0.00074,0.98592,0.00146,0.00004,0.00002,0.00274,0.00152,0.00143,0.00242,0.00371,1,1
0.20853,0.68844,0.97042,0.06468,0.00208,0.00004,0.00131,0.98441,0.00142,0.00522,0.00239,0.00108,0.00067,0.00140,3,3
0.90457,0.20884,0.61759,0.97860,0.00022,0.00153,0.00323,0.00284,0.00185,0.00073,0.98713,0.00016,0.00046,0.00186,6,6
0.60167,0.23635,0.03287,0.12504,0.00250,0.00194,0.00072,0.00059,0.00185,0.00162,0.00026,0.00001,0.98858,0.00192,8,8
0.33729,0.18395,0.16795,0.19749,0.00187,0.00151,0.00153,0.00122,0.00356,0.00308,0.00010,0.98461,0.00001,0.00251,7,7
0.38226,0.87467,0.04026,0.38921,0.00050,0.00001,0.00178,0.00141,0.98775,0.00180,0.00141,0.00242,0.00190,0.00102,4,4
0.14795,0.47242,0.26846,0.14458,0.98358,0.00106,0.00599,0.00239,0.00052,0.00001,0.00014,0.00172,0.00299,0.00161,0,0
0.75595,0.14804,0.62270,0.98845,0.00019,0.00143,0.00288,0.00258,0.00163,0.00065,0.98837,0.00014,0.00041,0.00173,6,6
0.13347,0.28002,0.32687,0.37607,0.00430,0.00145,0.98468,0.00126,0.00181,0.00172,0.00260,0.00141,0.00075,0.00000,2,2
