ogi,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,0.15329,0.20665,0.41796,0.24176,0.00099,0.00002,0.00082,0.98871,0.00079,0.00401,0.00164,0.00061,0.00049,0.00191,3,3
1,0.29039,0.76418,0.23721,0.59645,0.00321,0.00230,0.00091,0.00087,0.00277,0.00174,0.00037,0.00002,0.98534,0.00248,8,8
2,0.31811,0.67518,0.22922,0.59857,0.00280,0.00216,0.00078,0.00072,0.00234,0.00157,0.00031,0.00002,0.98715,0.00215,8,8
3,0.75130,0.14857,0.43996,0.97755,0.98913,0.00120,0.00269,0.00134,0.00064,0.00005,0.00015,0.00113,0.00238,0.00129,0,0
4,0.09161,0.43095,0.64685,0.18874,0.00034,0.00262,0.00349,0.00310,0.00248,0.00089,0.98446,0.00022,0.00055,0.00185,6,6
5,0.04729,0.45390,0.64389,0.18617,0.00032,0.00257,0.00329,0.00303,0.00238,0.00086,0.98496,0.00021,0.00053,0.00184,6,6
6,0.48356,0.67678,0.08231,0.37545,0.00139,0.98496,0.00019,0.00003,0.00004,0.00414,0.00230,0.00131,0.00232,0.00332,1,1
7,0.12220,0.65096,0.65505,0.17960,0.00025,0.00206,0.00286,0.00248,0.00191,0.00067,0.98777,0.00016,0.00040,0.00144,6,6
8,0.23205,0.21057,0.41580,0.25051,0.00124,0.00002,0.00096,0.98665,0.00098,0.00445,0.00191,0.00076,0.00062,0.00241,3,3
9,0.52815,0.64774,0.06576,0.37519,0.00120,0.98668,0.00015,0.00003,0.00003,0.00346,0.00198,0.00116,0.00205,0.00327,1,1
10,0.78114,0.15327,0.44135,0.97613,0.98934,0.00118,0.00266,0.00133,0.00062,0.00005,0.00015,0.00119,0.00218,0.00129,0,0
11,0.95323,0.51803,0.03950,0.43618,0.00215,0.00368,0.00010,0.00348,0.00020,0.00006,0.00142,0.00321,0.00246,0.98325,9,9
12,0.41181,0.59420,0.40432,0.04455,0.00011,0.00236,0.00231,0.01717,0.00240,0.96920,0.00084,0.00339,0.00213,0.00008,5,5
13,0.73131,0.55935,0.46802,0.34636,0.00165,0.00138,0.00153,0.00114,0.00335,0.00287,0.00011,0.98507,0.00002,0.00287,7,7
14,0.91824,0.69259,0.03060,0.43720,0.00194,0.00339,0.00008,0.00312,0.00017,0.00005,0.00126,0.00290,0.00225,0.98483,9,9
15,0.35819,0.72728,0.31078,0.52225,0.00780,0.00917,0.00374,0.00364,0.00993,0.00442,0.00851,0.00008,0.94392,0.00878,8,8
16,0.56506,0.99958,0.40013,0.04025,0.00007,0.00405,0.00206,0.00499,0.00164,0.97885,0.00043,0.00688,0.00097,0.00005,5,5
17,0.72961,0.70076,0.46365,0.34317,0.00139,0.00116,0.00127,0.00099,0.00285,0.00239,0.00009,0.98712,0.00001,0.00272,7,7
18,0.25873,0.65943,0.23144,0.60154,0.00262,0.00184,0.00073,0.00069,0.00230,0.00141,0.00028,0.00001,0.98806,0.00204,8,8
19,0.13710,0.35806,0.64583,0.19144,0.00037,0.00278,0.00374,0.00330,0.00267,0.00097,0.98336,0.00024,0.00060,0.00197,6,6
21,0.53419,0.28668,0.46611,0.95711,0.98508,0.00148,0.00461,0.00177,0.00085,0.00008,0.00023,0.00160,0.00278,0.00152,0,0
22,0.88807,0.43173,0.74066,0.37064,0.00093,0.00005,0.00150,0.00153,0.98679,0.00188,0.00175,0.00269,0.00270,0.00019,4,4
23,0.85115,0.47916,0.04604,0.43593,0.00235,0.00402,0.00011,0.00376,0.00022,0.00007,0.00157,0.00347,0.00268,0.98175,9,9
24,0.44965,0.50669,0.46649,0.07695,0.00020,0.00265,0.00372,0.01271,0.01875,0.94911,0.00137,0.00682,0.00457,0.00011,5,5
