ogi,vis,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,1,0.89328,0.25546,0.06291,0.06590,0.00083,0.00067,0.00115,0.98936,0.00106,0.00337,0.00109,0.00097,0.00076,0.00074,3,3
1,1,0.05176,0.55476,0.93983,0.18431,0.00185,0.00112,0.00098,0.00102,0.00085,0.00086,0.00088,0.00084,0.99033,0.00126,8,8
2,1,0.16401,0.44888,0.93064,0.19932,0.00329,0.00278,0.00162,0.00173,0.00145,0.00148,0.00151,0.00145,0.98228,0.00241,8,8
3,1,0.21335,0.70953,0.69768,0.51840,0.98186,0.00162,0.00274,0.00190,0.00162,0.00154,0.00152,0.00157,0.00363,0.00199,0,0
4,1,0.48190,0.86273,0.43594,0.87687,0.00145,0.00140,0.00281,0.00260,0.00192,0.00180,0.98378,0.00134,0.00143,0.00148,6,6
5,1,0.44817,0.75384,0.38485,0.80881,0.00173,0.00164,0.00304,0.00674,0.00233,0.00268,0.97676,0.00165,0.00170,0.00173,6,6
6,1,0.11585,0.27425,0.82869,0.36700,0.00171,0.98398,0.00147,0.00166,0.00138,0.00157,0.00153,0.00142,0.00198,0.00330,1,1
7,1,0.49743,0.87632,0.43821,0.88211,0.00142,0.00129,0.00258,0.00243,0.00177,0.00162,0.98490,0.00125,0.00133,0.00141,6,6
8,1,0.81088,0.21029,0.10787,0.09562,0.00169,0.00116,0.00183,0.98265,0.00179,0.00483,0.00180,0.00163,0.00136,0.00126,3,3
9,1,0.16398,0.28250,0.83401,0.37335,0.00176,0.98363,0.00151,0.00158,0.00142,0.00155,0.00159,0.00147,0.00205,0.00344,1,1
10,2,0.24568,0.82857,0.68987,0.53269,0.98863,0.00106,0.00179,0.00128,0.00107,0.00101,0.00100,0.00104,0.00183,0.00129,0,0
11,1,0.96458,0.42278,0.80416,0.36738,0.00210,0.00301,0.00156,0.00172,0.00145,0.00155,0.00153,0.00163,0.00214,0.98331,9,9
12,1,0.75795,0.57945,0.12406,0.09956,0.00143,0.00141,0.00224,0.01746,0.00226,0.96824,0.00173,0.00245,0.00137,0.00143,5,5
