ogi,vis,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,1,0.81300,0.37186,0.32719,0.43107,0.00000,0.00004,0.00000,0.97437,0.00001,0.02558,0.00000,0.00000,0.00000,0.00000,3,3
1,1,0.15275,0.62282,0.80510,0.24377,0.00043,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99956,0.00000,8,8
2,1,0.32632,0.68317,0.74958,0.32133,0.00706,0.00600,0.00000,0.00000,0.00006,0.00000,0.00000,0.00001,0.98626,0.00061,8,8
3,1,0.09458,0.53139,0.64521,0.10010,0.99962,0.00000,0.00017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0,0
4,1,0.87424,0.66031,0.37225,0.41955,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.99999,0.00000,0.00000,0.00000,6,6
5,1,0.85046,0.66947,0.32716,0.46363,0.00000,0.00000,0.00002,0.00722,0.00002,0.00020,0.99253,0.00001,0.00000,0.00000,6,6
6,1,0.74152,0.90081,0.61793,0.61014,0.00000,0.99843,0.00000,0.00152,0.00000,0.00004,0.00000,0.00000,0.00001,0.00000,1,1
7,1,0.62161,0.57192,0.34963,0.30031,0.00782,0.00006,0.00655,0.46664,0.00700,0.09030,0.41934,0.00023,0.00205,0.00003,3,6
8,1,0.64827,0.44080,0.17992,0.25805,0.00000,0.00000,0.08695,0.50700,0.38534,0.01641,0.00384,0.00046,0.00000,0.00000,3,3
9,1,0.55162,0.82877,0.76026,0.59748,0.00000,0.90253,0.00000,0.00002,0.00000,0.00009,0.00002,0.00000,0.00026,0.09708,1,1
10,2,0.24778,0.40468,0.27096,0.29211,0.74896,0.00000,0.00015,0.23731,0.00163,0.01094,0.00003,0.00091,0.00008,0.00000,0,0
11,1,0.35807,0.96234,0.84892,0.52056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,9,9
12,1,0.73403,0.11194,0.11836,0.43804,0.00000,0.00000,0.00002,0.01154,0.18191,0.80650,0.00000,0.00003,0.00000,0.00000,5,5
13,1,0.46202,0.01807,0.29902,0.89230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,7,7
14,1,0.48263,0.91254,0.82849,0.51979,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99999,9,9
15,1,0.18531,0.79851,0.65549,0.36390,0.00002,0.00007,0.00000,0.00001,0.00388,0.00006,0.00041,0.00000,0.99550,0.00004,8,8
16,1,0.73146,0.19990,0.29039,0.45579,0.00000,0.00000,0.00019,0.00237,0.00000,0.97920,0.00002,0.01821,0.00000,0.00000,5,5
17,1,0.65058,0.14559,0.56388,0.62453,0.00000,0.00019,0.00000,0.00001,0.00000,0.00000,0.00000,0.99876,0.00000,0.00103,7,7
18,2,0.24066,0.61077,0.68422,0.20420,0.03497,0.00002,0.00000,0.00012,0.00001,0.00012,0.00005,0.00001,0.96405,0.00066,8,8
19,1,0.94655,0.68958,0.34949,0.48693,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,6,6
20,4,0.53868,0.19667,0.38766,0.61776,0.00031,0.92437,0.00005,0.00523,0.00001,0.02573,0.00004,0.01783,0.00001,0.02642,1,7
21,1,0.02705,0.39751,0.41612,0.15688,0.99989,0.00000,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
22,1,0.54066,0.47192,0.31709,0.24753,0.48097,0.00000,0.07555,0.04900,0.35132,0.02045,0.02250,0.00003,0.00018,0.00000,0,4
23,1,0.35506,0.91711,0.77350,0.43796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,9,9
24,2,0.38742,0.31994,0.24625,0.22784,0.00000,0.00000,0.00017,0.10523,0.71447,0.18003,0.00009,0.00001,0.00000,0.00000,4,5
25,1,0.60376,0.32476,0.25348,0.33637,0.00008,0.00000,0.50746,0.45050,0.00245,0.03794,0.00021,0.00136,0.00000,0.00000,2,2
26,1,0.60365,0.31237,0.17831,0.46506,0.00000,0.00000,0.00025,0.20712,0.07997,0.69623,0.00001,0.01642,0.00000,0.00000,5,4
27,3,0.23788,0.36753,0.38006,0.27595,0.99965,0.00000,0.00000,0.00000,0.00028,0.00000,0.00006,0.00000,0.00000,0.00000,0,0
28,2,0.47970,0.87330,0.73831,0.52400,0.00000,0.00170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99830,9,9
29,2,0.87027,0.76577,0.37268,0.54711,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,6,6
30,3,0.74323,0.53307,0.30104,0.44313,0.00000,0.00000,0.00003,0.00684,0.00021,0.00071,0.99192,0.00028,0.00000,0.00000,6,6
31,1,0.88549,0.26152,0.42349,0.39226,0.00000,0.00000,0.00013,0.00007,0.00027,0.99935,0.00018,0.00000,0.00000,0.00000,5,5
32,1,0.42561,0.45631,0.39189,0.26327,0.00001,0.00000,0.00483,0.00139,0.88244,0.00132,0.00127,0.00217,0.10655,0.00001,4,4
33,1,0.91734,0.36366,0.13597,0.48871,0.00000,0.00000,0.04554,0.17410,0.00004,0.77483,0.00253,0.00297,0.00000,0.00000,5,5
34,1,0.38608,0.79701,0.80882,0.41721,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.99996,9,9
35,1,0.63970,0.29202,0.44205,0.35046,0.00002,0.00037,0.03429,0.55219,0.00012,0.35629,0.00081,0.00030,0.05558,0.00002,3,2
36,2,0.48494,0.23380,0.16136,0.57167,0.00000,0.00000,0.00015,0.00018,0.96445,0.01271,0.00013,0.02238,0.00000,0.00000,4,4
37,2,0.40864,0.72746,0.77242,0.47334,0.00924,0.73073,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00025,0.25977,1,1
38,3,0.40687,0.89570,0.85897,0.43603,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,9,9
39,1,0.90263,0.24712,0.32543,0.42285,0.00000,0.00000,0.00000,0.00001,0.00000,0.99999,0.00000,0.00000,0.00000,0.00000,5,5
40,1,0.35940,0.42608,0.55906,0.25837,0.00002,0.00000,0.00000,0.00000,0.99998,0.00000,0.00000,0.00000,0.00000,0.00000,4,4
41,4,0.70754,0.68018,0.21794,0.36500,0.00000,0.00000,0.00051,0.03051,0.00000,0.00059,0.96838,0.00000,0.00000,0.00000,6,6
42,2,0.67750,0.17190,0.29858,0.70899,0.00005,0.00040,0.00031,0.00602,0.00000,0.07944,0.00000,0.91377,0.00000,0.00000,7,5
43,4,0.53421,0.46519,0.32151,0.37513,0.00004,0.00002,0.00249,0.15642,0.03918,0.59006,0.21127,0.00049,0.00002,0.00000,5,6
44,2,0.16383,0.56536,0.65402,0.17707,0.99517,0.00001,0.00012,0.00000,0.00000,0.00002,0.00000,0.00000,0.00467,0.00000,0,0
45,4,0.40527,0.90362,0.91064,0.54458,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99998,9,9
46,1,0.67876,0.40807,0.21794,0.35774,0.00000,0.00000,0.02003,0.87917,0.00021,0.10015,0.00043,0.00000,0.00000,0.00000,3,3
47,1,0.49525,0.65590,0.54424,0.52072,0.00944,0.00006,0.07784,0.04396,0.00156,0.00374,0.00004,0.11098,0.04316,0.70922,9,9
48,1,0.53356,0.07581,0.19745,0.77886,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.99997,0.00000,0.00000,7,7
