ogi,vis,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,1,0.75855,0.81047,0.83194,0.96251,0.00099,0.00002,0.00082,0.98871,0.00079,0.00401,0.00164,0.00061,0.00049,0.00191,3,3
1,1,0.27955,0.18271,0.06429,0.36510,0.00321,0.00230,0.00091,0.00087,0.00277,0.00174,0.00037,0.00002,0.98534,0.00248,8,8
2,1,0.30932,0.17779,0.05276,0.36283,0.00280,0.00216,0.00078,0.00072,0.00234,0.00157,0.00031,0.00002,0.98715,0.00215,8,8
3,1,0.80242,0.12083,0.38600,0.38887,0.98913,0.00120,0.00269,0.00134,0.00064,0.00005,0.00015,0.00113,0.00238,0.00129,0,0
4,1,0.78491,0.60684,0.77427,0.48032,0.00034,0.00262,0.00349,0.00310,0.00248,0.00089,0.98446,0.00022,0.00055,0.00185,6,6
5,1,0.81453,0.62039,0.77347,0.48423,0.00032,0.00257,0.00329,0.00303,0.00238,0.00086,0.98496,0.00021,0.00053,0.00184,6,6
6,1,0.86461,0.53845,0.04791,0.50156,0.00139,0.98496,0.00019,0.00003,0.00004,0.00414,0.00230,0.00131,0.00232,0.00332,1,1
7,1,0.82982,0.73292,0.79080,0.48162,0.00025,0.00206,0.00286,0.00248,0.00191,0.00067,0.98777,0.00016,0.00040,0.00144,6,6
8,1,0.69747,0.80636,0.81582,0.94879,0.00124,0.00002,0.00096,0.98665,0.00098,0.00445,0.00191,0.00076,0.00062,0.00241,3,3
9,1,0.85735,0.49965,0.03102,0.50508,0.00120,0.98668,0.00015,0.00003,0.00003,0.00346,0.00198,0.00116,0.00205,0.00327,1,1
10,2,0.83089,0.17541,0.38963,0.39092,0.98934,0.00118,0.00266,0.00133,0.00062,0.00005,0.00015,0.00119,0.00218,0.00129,0,0
11,1,0.54107,0.16391,0.18112,0.72963,0.00215,0.00368,0.00010,0.00348,0.00020,0.00006,0.00142,0.00321,0.00246,0.98325,9,9
12,1,0.68222,0.33203,0.48474,0.65440,0.00011,0.00236,0.00231,0.01717,0.00240,0.96920,0.00084,0.00339,0.00213,0.00008,5,5
13,1,0.55931,0.88924,0.35479,0.41852,0.00165,0.00138,0.00153,0.00114,0.00335,0.00287,0.00011,0.98507,0.00002,0.00287,7,7
14,1,0.58621,0.09978,0.17405,0.73388,0.00194,0.00339,0.00008,0.00312,0.00017,0.00005,0.00126,0.00290,0.00225,0.98483,9,9
15,1,0.30033,0.28624,0.19403,0.38818,0.00780,0.00917,0.00374,0.00364,0.00993,0.00442,0.00851,0.00008,0.94392,0.00878,8,8
16,1,0.70406,0.41761,0.41984,0.58613,0.00007,0.00405,0.00206,0.00499,0.00164,0.97885,0.00043,0.00688,0.00097,0.00005,5,5
17,1,0.63583,0.91756,0.35195,0.42215,0.00139,0.00116,0.00127,0.00099,0.00285,0.00239,0.00009,0.98712,0.00001,0.00272,7,7
18,2,0.31625,0.11337,0.05281,0.36082,0.00262,0.00184,0.00073,0.00069,0.00230,0.00141,0.00028,0.00001,0.98806,0.00204,8,8
19,1,0.77414,0.56673,0.77091,0.47893,0.00037,0.00278,0.00374,0.00330,0.00267,0.00097,0.98336,0.00024,0.00060,0.00197,6,6
21,1,0.72636,0.20518,0.41589,0.37396,0.98508,0.00148,0.00461,0.00177,0.00085,0.00008,0.00023,0.00160,0.00278,0.00152,0,0
22,1,0.16196,0.25353,0.36153,0.18808,0.00093,0.00005,0.00150,0.00153,0.98679,0.00188,0.00175,0.00269,0.00270,0.00019,4,4
23,1,0.53106,0.20191,0.18547,0.72527,0.00235,0.00402,0.00011,0.00376,0.00022,0.00007,0.00157,0.00347,0.00268,0.98175,9,9
24,2,0.62667,0.39847,0.40898,0.53210,0.00020,0.00265,0.00372,0.01271,0.01875,0.94911,0.00137,0.00682,0.00457,0.00011,5,5
25,1,0.24913,0.73444,0.80695,0.20680,0.00501,0.00249,0.90583,0.01208,0.00659,0.04285,0.01271,0.00716,0.00490,0.00037,2,2
26,1,0.15687,0.18731,0.36445,0.18300,0.00072,0.00004,0.00120,0.00125,0.98926,0.00152,0.00149,0.00236,0.00202,0.00014,4,4
27,3,0.83682,0.17101,0.38873,0.38927,0.98968,0.00115,0.00260,0.00128,0.00060,0.00005,0.00015,0.00116,0.00211,0.00125,0,0
28,2,0.59413,0.17306,0.17208,0.73308,0.00193,0.00353,0.00008,0.00302,0.00017,0.00005,0.00128,0.00288,0.00224,0.98482,9,9
29,2,0.77541,0.66761,0.78223,0.47696,0.00030,0.00239,0.00337,0.00286,0.00230,0.00081,0.98563,0.00020,0.00049,0.00165,6,6
30,3,0.79916,0.67895,0.78176,0.48424,0.00030,0.00237,0.00323,0.00295,0.00225,0.00081,0.98569,0.00019,0.00049,0.00172,6,6
31,1,0.83761,0.32978,0.43096,0.60556,0.00004,0.00304,0.00154,0.00451,0.00111,0.98556,0.00039,0.00256,0.00121,0.00003,5,5
32,1,0.09626,0.32186,0.36560,0.19306,0.00096,0.00005,0.00157,0.00163,0.98610,0.00200,0.00187,0.00295,0.00266,0.00020,4,4
33,1,0.55656,0.43464,0.54391,0.47344,0.00115,0.00754,0.04180,0.03050,0.01262,0.87801,0.00477,0.01348,0.00971,0.00040,5,5
34,1,0.60811,0.10704,0.17897,0.73395,0.00202,0.00339,0.00009,0.00335,0.00018,0.00006,0.00131,0.00300,0.00234,0.98427,9,9
35,1,0.21070,0.82948,0.91203,0.04263,0.00314,0.00022,0.98684,0.00164,0.00146,0.00169,0.00256,0.00145,0.00091,0.00008,2,2
36,2,0.03466,0.39417,0.37041,0.20345,0.00124,0.00008,0.00202,0.00210,0.98226,0.00257,0.00242,0.00374,0.00330,0.00028,4,4
37,2,0.81848,0.43043,0.05699,0.52165,0.00300,0.96649,0.00035,0.00011,0.00010,0.00468,0.00410,0.00291,0.00476,0.01351,1,1
38,3,0.52986,0.18474,0.17879,0.72491,0.00227,0.00394,0.00010,0.00355,0.00021,0.00007,0.00148,0.00329,0.00268,0.98242,9,9
39,1,0.78382,0.37607,0.43089,0.58675,0.00010,0.00487,0.00260,0.00650,0.00190,0.97709,0.00072,0.00414,0.00203,0.00007,5,5
40,1,0.13563,0.30004,0.36534,0.18855,0.00088,0.00005,0.00144,0.00148,0.98718,0.00183,0.00172,0.00293,0.00231,0.00018,4,4
41,4,0.78876,0.69192,0.78415,0.48051,0.00028,0.00227,0.00309,0.00268,0.00209,0.00075,0.98662,0.00018,0.00045,0.00159,6,6
42,2,0.87371,0.31997,0.42908,0.60172,0.00004,0.00280,0.00142,0.00390,0.00097,0.98712,0.00034,0.00233,0.00107,0.00003,5,5
43,4,0.76047,0.56028,0.76756,0.47973,0.00038,0.00294,0.00381,0.00335,0.00270,0.00101,0.98290,0.00025,0.00062,0.00203,6,6
44,2,0.69810,0.14425,0.38887,0.39213,0.98578,0.00161,0.00341,0.00176,0.00087,0.00007,0.00022,0.00164,0.00285,0.00177,0,0
45,4,0.54214,0.16111,0.18033,0.73023,0.00212,0.00363,0.00009,0.00343,0.00019,0.00006,0.00139,0.00319,0.00241,0.98349,9,9
46,1,0.70389,0.75759,0.82170,0.94610,0.00107,0.00002,0.00100,0.98610,0.00103,0.00521,0.00206,0.00075,0.00061,0.00214,3,3
47,1,0.43111,0.24331,0.12375,0.51976,0.03034,0.04246,0.00351,0.01297,0.00725,0.00530,0.00754,0.00169,0.66318,0.22576,8,9
48,1,0.56461,0.90189,0.35203,0.41999,0.00161,0.00134,0.00145,0.00110,0.00327,0.00277,0.00010,0.98550,0.00002,0.00283,7,7
49,2,0.85745,0.69199,0.78280,0.48201,0.00026,0.00216,0.00286,0.00257,0.00206,0.00070,0.98726,0.00017,0.00043,0.00153,6,6
50,2,0.51478,0.03849,0.17633,0.74387,0.00172,0.00294,0.00007,0.00298,0.00015,0.00005,0.00116,0.00257,0.00199,0.98638,9,9
51,1,0.25663,0.08860,0.05928,0.36387,0.00276,0.00188,0.00078,0.00078,0.00258,0.00145,0.00032,0.00002,0.98715,0.00230,8,8
52,1,0.53196,0.71636,0.68833,0.75418,0.01942,0.00066,0.01265,0.89206,0.00867,0.01825,0.00820,0.01573,0.00468,0.01969,3,0
53,1,0.61538,0.63792,0.74871,0.90240,0.00122,0.00010,0.00203,0.95370,0.00250,0.03162,0.00299,0.00222,0.00142,0.00221,3,3
54,3,0.28128,0.17085,0.06029,0.36120,0.00301,0.00205,0.00083,0.00079,0.00259,0.00156,0.00032,0.00002,0.98659,0.00225,8,8
55,3,0.25669,0.15984,0.06087,0.36485,0.00298,0.00220,0.00086,0.00081,0.00256,0.00165,0.00034,0.00002,0.98618,0.00240,8,8
56,4,0.55805,0.91770,0.35412,0.41831,0.00153,0.00131,0.00147,0.00109,0.00335,0.00288,0.00010,0.98555,0.00002,0.00270,7,7
57,1,0.42844,0.85104,0.38903,0.51477,0.00173,0.00452,0.00421,0.00764,0.00832,0.05593,0.00044,0.91423,0.00013,0.00287,7,7
58,2,0.45770,0.81143,0.35897,0.50978,0.00092,0.01071,0.00714,0.01238,0.01801,0.62301,0.00099,0.32505,0.00083,0.00097,5,4
59,1,0.42885,0.60526,0.83231,0.75036,0.00408,0.00128,0.01178,0.55018,0.01063,0.01409,0.38912,0.00231,0.00343,0.01310,3,6
60,2,0.52609,0.91196,0.35350,0.42082,0.00158,0.00145,0.00152,0.00112,0.00325,0.00307,0.00011,0.98511,0.00002,0.00279,7,7
61,1,0.57404,0.57191,0.69974,0.80197,0.00208,0.00111,0.00918,0.73714,0.00684,0.21721,0.01002,0.00916,0.00413,0.00314,3,3
62,2,0.82091,0.68794,0.78032,0.48419,0.00028,0.00232,0.00296,0.00266,0.00207,0.00075,0.98672,0.00018,0.00045,0.00161,6,6
63,2,0.56447,0.53096,0.61859,0.78820,0.00386,0.00634,0.01177,0.52555,0.00691,0.39807,0.01897,0.01308,0.00956,0.00590,3,3
64,2,0.69888,0.64993,0.78718,0.49246,0.00027,0.00219,0.00304,0.00298,0.00207,0.00078,0.98639,0.00017,0.00047,0.00163,6,6
65,1,0.11621,0.83913,0.91068,0.05090,0.00348,0.00026,0.98544,0.00182,0.00161,0.00181,0.00288,0.00165,0.00097,0.00010,2,2
66,1,0.59608,0.35479,0.01420,0.44616,0.00611,0.91383,0.00088,0.00019,0.00034,0.01211,0.00419,0.00102,0.05324,0.00809,1,1
67,2,0.17120,0.87152,0.91771,0.04196,0.00312,0.00022,0.98703,0.00160,0.00143,0.00162,0.00257,0.00148,0.00085,0.00008,2,2
68,3,0.56362,0.57720,0.59036,0.80319,0.00275,0.00172,0.00712,0.72744,0.00883,0.21536,0.00740,0.01070,0.01067,0.00803,3,3
69,2,0.55764,0.95366,0.34938,0.41424,0.00144,0.00116,0.00132,0.00100,0.00337,0.00252,0.00009,0.98648,0.00001,0.00260,7,7
70,1,0.12799,0.74193,0.88872,0.09158,0.00506,0.00038,0.97800,0.00319,0.00241,0.00295,0.00390,0.00254,0.00141,0.00016,2,2
71,2,0.74852,0.63480,0.77942,0.48414,0.00031,0.00246,0.00332,0.00301,0.00230,0.00084,0.98526,0.00020,0.00051,0.00177,6,6
72,2,0.36700,0.10672,0.04960,0.36231,0.00255,0.00185,0.00071,0.00067,0.00222,0.00141,0.00027,0.00001,0.98830,0.00200,8,8
73,3,0.30151,0.12559,0.05611,0.36186,0.00274,0.00193,0.00077,0.00074,0.00243,0.00149,0.00030,0.00002,0.98746,0.00213,8,8
