ogi,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,0.15329,0.20665,0.41796,0.24176,0.00123,0.00003,0.00124,0.98331,0.00125,0.00580,0.00300,0.00086,0.00072,0.00255,3,3
1,0.29039,0.76418,0.23721,0.59645,0.00300,0.00220,0.00082,0.00077,0.00248,0.00161,0.00033,0.00002,0.98648,0.00229,8,8
2,0.31811,0.67518,0.22922,0.59857,0.00295,0.00213,0.00078,0.00071,0.00231,0.00149,0.00030,0.00002,0.98719,0.00213,8,8
3,0.75130,0.14857,0.43996,0.97755,0.71729,0.00879,0.02446,0.02460,0.01109,0.00258,0.00303,0.00237,0.18932,0.01647,0,0
4,0.09161,0.43095,0.64685,0.18874,0.00031,0.00234,0.00331,0.00300,0.00242,0.00081,0.98536,0.00020,0.00051,0.00174,6,6
5,0.04729,0.45390,0.64389,0.18617,0.00090,0.00317,0.00595,0.01715,0.00575,0.00263,0.95696,0.00069,0.00134,0.00546,6,6
6,0.48356,0.67678,0.08231,0.37545,0.00167,0.98042,0.00027,0.00005,0.00006,0.00593,0.00287,0.00170,0.00303,0.00400,1,1
7,0.12220,0.65096,0.65505,0.17960,0.00110,0.00253,0.00726,0.02676,0.00575,0.00286,0.94599,0.00068,0.00145,0.00561,6,6
8,0.23205,0.21057,0.41580,0.25051,0.00095,0.00002,0.00080,0.98851,0.00083,0.00434,0.00159,0.00063,0.00050,0.00183,3,3
9,0.52815,0.64774,0.06576,0.37519,0.00513,0.91102,0.00055,0.00035,0.00021,0.00531,0.00607,0.00835,0.00698,0.05602,1,1
10,0.78114,0.15327,0.44135,0.97613,0.96140,0.00241,0.00754,0.01230,0.00208,0.00053,0.00064,0.00342,0.00651,0.00317,0,0
11,0.95323,0.51803,0.03950,0.43618,0.00217,0.00375,0.00010,0.00348,0.00020,0.00006,0.00143,0.00324,0.00248,0.98308,9,9
12,0.41181,0.59420,0.40432,0.04455,0.00020,0.00231,0.00309,0.04270,0.00311,0.94000,0.00147,0.00374,0.00322,0.00017,5,5
13,0.73131,0.55935,0.46802,0.34636,0.00181,0.00155,0.00172,0.00127,0.00370,0.00328,0.00013,0.98346,0.00002,0.00306,7,7
