ogi,vis,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0,1,0.35886,0.73700,0.93264,0.05292,0.00139,0.00006,0.00170,0.97408,0.00196,0.01401,0.00267,0.00165,0.00090,0.00157,3,3
1,1,0.64452,0.18470,0.03190,0.12746,0.00263,0.00193,0.00069,0.00059,0.00185,0.00152,0.00026,0.00001,0.98845,0.00207,8,8
2,1,0.49976,0.34967,0.09904,0.19268,0.01790,0.01003,0.02653,0.00370,0.01041,0.00810,0.00253,0.00016,0.91841,0.00222,8,8
3,1,0.54618,0.25432,0.03832,0.14021,0.00309,0.00227,0.00102,0.00073,0.00247,0.00193,0.00035,0.00001,0.98597,0.00216,8,0
4,1,0.86104,0.29528,0.61922,0.98474,0.00020,0.00157,0.00304,0.00260,0.00163,0.00069,0.98791,0.00015,0.00043,0.00178,6,6
5,1,0.97617,0.51253,0.71777,0.84829,0.00049,0.00135,0.00463,0.01808,0.00334,0.00199,0.96517,0.00036,0.00085,0.00374,6,6
6,1,0.82788,0.62280,0.53271,0.19163,0.00596,0.07686,0.02190,0.23639,0.00647,0.51342,0.02977,0.03311,0.03324,0.04288,5,1
7,1,0.94491,0.38842,0.62484,0.94158,0.00034,0.00175,0.00377,0.00442,0.00240,0.00093,0.98291,0.00022,0.00063,0.00263,6,6
8,1,0.22423,0.77211,0.97413,0.05384,0.00153,0.00003,0.00104,0.98531,0.00136,0.00576,0.00208,0.00095,0.00062,0.00131,3,3
9,1,0.96155,0.50752,0.71965,0.84039,0.00053,0.00169,0.00669,0.01802,0.00288,0.00228,0.96380,0.00039,0.00084,0.00287,6,1
10,2,0.56087,0.61580,0.34978,0.19531,0.00219,0.00179,0.03286,0.13365,0.34802,0.39751,0.01645,0.01815,0.04130,0.00809,5,0
11,1,0.56649,0.96744,0.24213,0.44878,0.00285,0.00310,0.00000,0.00122,0.00072,0.00016,0.00151,0.00180,0.00155,0.98709,9,9
12,1,0.63493,0.48986,0.39919,0.12140,0.00014,0.00171,0.01220,0.04472,0.03040,0.88917,0.00341,0.00879,0.00815,0.00131,5,5
13,1,0.43799,0.10856,0.17377,0.19909,0.00223,0.00179,0.00169,0.00135,0.00348,0.00316,0.00012,0.98337,0.00001,0.00280,7,7
14,1,0.55517,0.82497,0.20026,0.42699,0.00418,0.00408,0.00001,0.00148,0.00123,0.00024,0.00176,0.00164,0.00393,0.98143,9,9
15,1,0.92905,0.37131,0.60154,0.95357,0.00032,0.00204,0.00318,0.00364,0.00237,0.00090,0.98346,0.00022,0.00068,0.00319,6,8
16,1,0.64298,0.56141,0.70476,0.04149,0.00034,0.00132,0.01116,0.36336,0.00488,0.60151,0.00405,0.00857,0.00345,0.00136,5,5
17,1,0.40897,0.25499,0.41108,0.15130,0.01113,0.00252,0.00474,0.04438,0.01130,0.01394,0.00106,0.89489,0.00013,0.01591,7,7
18,2,0.61564,0.31210,0.05074,0.17771,0.00413,0.00330,0.00065,0.00100,0.00289,0.00192,0.00058,0.00002,0.97896,0.00656,8,8
19,1,0.86029,0.18812,0.61996,0.98079,0.00021,0.00150,0.00309,0.00277,0.00177,0.00071,0.98751,0.00015,0.00045,0.00184,6,6
20,4,0.63299,0.63156,0.85317,0.21348,0.00290,0.00034,0.00231,0.93094,0.00585,0.02125,0.01881,0.00332,0.00276,0.01151,3,7
21,1,0.24025,0.44865,0.37640,0.30219,0.17784,0.00326,0.79425,0.00827,0.00342,0.00058,0.00418,0.00314,0.00497,0.00009,2,0
22,1,0.58918,0.63738,0.52662,0.34566,0.01950,0.00054,0.03763,0.39891,0.39331,0.02458,0.07858,0.01140,0.02082,0.01474,3,4
23,1,0.68024,0.90075,0.23704,0.44804,0.00312,0.00356,0.00001,0.00132,0.00082,0.00019,0.00168,0.00205,0.00175,0.98552,9,9
24,2,0.52859,0.61348,0.66516,0.10682,0.00205,0.00017,0.00650,0.79575,0.07328,0.09246,0.00904,0.00671,0.00787,0.00618,3,5
25,1,0.50001,0.55285,0.55920,0.21522,0.11626,0.00169,0.10437,0.57591,0.09587,0.01752,0.02703,0.03625,0.01467,0.01043,3,2
26,1,0.77050,0.56330,0.61325,0.40191,0.00976,0.00156,0.01298,0.54339,0.12721,0.04176,0.18229,0.00789,0.02393,0.04924,3,4
27,3,0.24359,0.53234,0.38666,0.40848,0.85759,0.00939,0.03873,0.02587,0.00712,0.00027,0.01985,0.00750,0.01470,0.01897,0,0
28,2,0.67553,0.66570,0.59089,0.42909,0.01657,0.02124,0.00205,0.23066,0.01121,0.02330,0.13468,0.01709,0.01629,0.52692,9,9
29,2,0.85866,0.21705,0.61923,0.97927,0.00021,0.00154,0.00311,0.00281,0.00179,0.00072,0.98730,0.00016,0.00046,0.00189,6,6
30,3,0.99279,0.40937,0.65843,0.94526,0.00025,0.00139,0.00318,0.00473,0.00193,0.00090,0.98470,0.00018,0.00050,0.00223,6,6
31,1,0.66477,0.44231,0.44435,0.10707,0.00004,0.00317,0.01047,0.01737,0.00299,0.95687,0.00159,0.00383,0.00336,0.00031,5,5
32,1,0.52406,0.76549,0.10754,0.44300,0.00167,0.00006,0.01644,0.00324,0.96046,0.00342,0.00628,0.00391,0.00375,0.00077,4,4
33,1,0.56506,0.44255,0.53512,0.67871,0.00662,0.00976,0.50571,0.01787,0.00894,0.00765,0.43673,0.00246,0.00378,0.00045,2,5
34,1,0.50263,0.96454,0.24754,0.44447,0.00270,0.00272,0.00000,0.00119,0.00066,0.00014,0.00136,0.00162,0.00144,0.98816,9,9
35,1,0.23918,0.32509,0.33216,0.37189,0.00416,0.00132,0.98576,0.00121,0.00163,0.00157,0.00241,0.00119,0.00074,0.00000,2,2
36,2,0.43917,0.80078,0.05549,0.35634,0.00056,0.00003,0.00265,0.00226,0.98104,0.00405,0.00178,0.00283,0.00352,0.00128,4,4
37,2,0.53453,0.89558,0.23435,0.44619,0.00272,0.00296,0.00000,0.00113,0.00069,0.00015,0.00139,0.00158,0.00163,0.98775,9,1
38,3,0.69794,0.93880,0.23785,0.44552,0.00320,0.00344,0.00001,0.00136,0.00085,0.00018,0.00166,0.00203,0.00179,0.98549,9,9
39,1,0.75488,0.32328,0.36810,0.04666,0.00001,0.00202,0.00298,0.00519,0.00127,0.98401,0.00035,0.00241,0.00161,0.00016,5,5
40,1,0.39340,0.84493,0.03743,0.38209,0.00051,0.00001,0.00171,0.00138,0.98815,0.00169,0.00129,0.00242,0.00183,0.00100,4,4
41,4,0.95276,0.51825,0.72050,0.82012,0.00067,0.00159,0.00688,0.02396,0.00385,0.00259,0.95530,0.00048,0.00103,0.00365,6,6
42,2,0.40797,0.72916,0.90614,0.03164,0.00087,0.00008,0.00162,0.95744,0.00233,0.03009,0.00251,0.00214,0.00108,0.00184,3,5
43,4,0.84396,0.16603,0.62032,0.98259,0.00020,0.00148,0.00308,0.00273,0.00175,0.00069,0.98769,0.00015,0.00044,0.00179,6,6
44,2,0.07779,0.59107,0.26904,0.13426,0.98577,0.00077,0.00349,0.00253,0.00056,0.00001,0.00012,0.00169,0.00276,0.00230,0,0
45,4,0.73640,0.92804,0.23899,0.44400,0.00338,0.00363,0.00001,0.00143,0.00089,0.00020,0.00174,0.00219,0.00185,0.98469,9,9
46,1,0.33039,0.68431,0.95140,0.08742,0.00172,0.00005,0.00186,0.97869,0.00194,0.00872,0.00352,0.00124,0.00086,0.00142,3,3
47,1,0.68685,0.45137,0.44118,0.20743,0.00676,0.03030,0.01218,0.23715,0.03492,0.42891,0.03412,0.02027,0.10100,0.09438,5,9
48,1,0.43994,0.21168,0.18134,0.17641,0.00125,0.00314,0.00311,0.00238,0.00558,0.01579,0.00020,0.96568,0.00003,0.00284,7,7
49,2,0.77024,0.12325,0.62459,0.98932,0.00018,0.00136,0.00296,0.00255,0.00162,0.00064,0.98854,0.00014,0.00040,0.00162,6,6
50,2,0.64842,0.65927,0.65254,0.26377,0.02358,0.00302,0.00068,0.48149,0.00985,0.00955,0.02379,0.01436,0.00897,0.42470,3,9
51,1,0.55565,0.72708,0.17555,0.41731,0.00209,0.00010,0.00527,0.00966,0.94720,0.00614,0.01067,0.00374,0.00983,0.00530,4,8
52,1,0.37666,0.42467,0.38859,0.24524,0.01141,0.00232,0.77877,0.05046,0.06682,0.05114,0.01354,0.01685,0.00843,0.00026,2,0
53,1,0.20891,0.77660,0.97423,0.05264,0.00162,0.00003,0.00120,0.98502,0.00134,0.00588,0.00209,0.00101,0.00061,0.00120,3,3
54,3,0.62977,0.20799,0.03195,0.12799,0.00260,0.00182,0.00071,0.00061,0.00204,0.00157,0.00027,0.00001,0.98833,0.00204,8,8
55,3,0.50291,0.35603,0.09970,0.20783,0.01487,0.00974,0.04048,0.00426,0.01527,0.01194,0.00342,0.00019,0.89803,0.00181,8,8
56,4,0.22989,0.63829,0.97241,0.05587,0.00185,0.00003,0.00140,0.98489,0.00139,0.00549,0.00219,0.00101,0.00063,0.00112,3,7
57,1,0.43401,0.22933,0.21557,0.16932,0.00154,0.00285,0.00555,0.00701,0.01967,0.04170,0.00050,0.91647,0.00011,0.00462,7,7
58,2,0.66329,0.50366,0.56654,0.06033,0.00011,0.00119,0.00672,0.11474,0.00843,0.85418,0.00261,0.00669,0.00414,0.00118,5,4
59,1,0.97437,0.38817,0.63668,0.95088,0.00026,0.00158,0.00346,0.00405,0.00206,0.00090,0.98474,0.00019,0.00053,0.00221,6,6
60,2,0.46509,0.25672,0.22842,0.13914,0.00085,0.01588,0.01557,0.01127,0.01275,0.34420,0.00104,0.59384,0.00054,0.00407,7,7
61,1,0.70930,0.43383,0.38709,0.07191,0.00003,0.00182,0.00532,0.01572,0.00580,0.96163,0.00098,0.00456,0.00365,0.00048,5,3
62,2,0.90413,0.53047,0.74881,0.74454,0.00078,0.00204,0.00924,0.05556,0.00540,0.00704,0.91239,0.00080,0.00167,0.00507,6,6
63,2,0.85026,0.68222,0.09524,0.41175,0.00453,0.94190,0.00797,0.00034,0.00017,0.00969,0.00434,0.00325,0.01887,0.00894,1,3
64,2,0.99198,0.39733,0.65156,0.95131,0.00024,0.00142,0.00307,0.00432,0.00190,0.00085,0.98528,0.00018,0.00049,0.00225,6,6
65,1,0.19732,0.32075,0.33464,0.38166,0.00389,0.00119,0.98663,0.00112,0.00157,0.00140,0.00240,0.00118,0.00062,0.00000,2,2
66,1,0.88383,0.61748,0.33973,0.65000,0.01081,0.55129,0.01840,0.00663,0.00222,0.01748,0.28726,0.00810,0.02285,0.07494,1,1
67,2,0.06914,0.33366,0.32940,0.37984,0.00436,0.00163,0.98361,0.00135,0.00189,0.00193,0.00290,0.00151,0.00081,0.00001,2,2
68,3,0.75060,0.42323,0.42215,0.05311,0.00001,0.00221,0.00358,0.00847,0.00126,0.97940,0.00051,0.00258,0.00179,0.00020,5,3
69,2,0.37986,0.80073,0.04504,0.37920,0.00072,0.00002,0.00209,0.00174,0.98455,0.00208,0.00150,0.00412,0.00179,0.00139,4,7
70,1,0.19984,0.28599,0.32920,0.37750,0.00353,0.00131,0.98621,0.00115,0.00167,0.00173,0.00248,0.00123,0.00069,0.00000,2,2
71,2,0.98384,0.37433,0.63876,0.96433,0.00022,0.00145,0.00314,0.00351,0.00182,0.00079,0.98645,0.00017,0.00047,0.00198,6,6
72,2,0.57139,0.26823,0.03520,0.13587,0.00285,0.00208,0.00098,0.00077,0.00289,0.00216,0.00035,0.00001,0.98564,0.00226,8,8
73,3,0.59155,0.24623,0.03642,0.12610,0.00254,0.00204,0.00081,0.00064,0.00200,0.00182,0.00028,0.00001,0.98793,0.00193,8,8
74,1,0.49401,0.31728,0.07642,0.18117,0.09666,0.00639,0.00400,0.00648,0.01912,0.00177,0.00184,0.00042,0.83075,0.03259,8,0
76,3,0.23441,0.56874,0.19049,0.22430,0.71202,0.01619,0.00705,0.01696,0.01187,0.00077,0.00346,0.00613,0.12387,0.10167,0,9
77,4,0.24014,0.68902,0.96011,0.05944,0.00210,0.00004,0.00127,0.98385,0.00152,0.00554,0.00233,0.00109,0.00074,0.00151,3,3
78,1,0.74663,0.50414,0.50489,0.44078,0.00053,0.03096,0.06221,0.06043,0.01477,0.66443,0.13873,0.01380,0.00952,0.00461,5,3
79,2,0.50458,0.29181,0.06370,0.14587,0.01406,0.00276,0.00287,0.00201,0.00724,0.00196,0.00070,0.00005,0.96417,0.00418,8,8
80,3,0.57206,0.34311,0.12144,0.28593,0.00565,0.00770,0.00364,0.00226,0.00571,0.00474,0.00387,0.00004,0.96035,0.00603,8,8
81,1,0.71783,0.79123,0.18375,0.46479,0.00482,0.02396,0.00002,0.00118,0.00072,0.00056,0.00318,0.00416,0.00361,0.95781,9,1
82,2,0.91546,0.62454,0.18811,0.58288,0.00226,0.91842,0.00946,0.00053,0.00026,0.01267,0.02999,0.00331,0.01071,0.01238,1,1
83,4,0.62314,0.46349,0.52051,0.20226,0.00170,0.00410,0.16431,0.17306,0.04511,0.55381,0.01957,0.02944,0.00774,0.00115,5,7
84,2,0.39610,0.37324,0.45212,0.35853,0.00506,0.00131,0.97412,0.00530,0.00245,0.00337,0.00567,0.00170,0.00101,0.00001,2,2
85,2,0.52866,0.62980,0.73173,0.10884,0.00123,0.00070,0.00442,0.77103,0.01338,0.17678,0.00933,0.00962,0.00477,0.00875,3,5
86,2,0.12633,0.70983,0.98247,0.05303,0.00177,0.00003,0.00104,0.98664,0.00123,0.00461,0.00198,0.00089,0.00058,0.00124,3,2
87,2,0.51362,0.59300,0.67210,0.16244,0.00831,0.00012,0.01090,0.83098,0.09527,0.02208,0.01256,0.00750,0.00617,0.00610,3,7
88,3,0.56939,0.28381,0.04179,0.13319,0.00264,0.00223,0.00115,0.00098,0.00384,0.00324,0.00042,0.00002,0.98293,0.00255,8,8
89,3,0.52738,0.89926,0.24089,0.44467,0.00281,0.00295,0.00000,0.00121,0.00071,0.00015,0.00145,0.00163,0.00166,0.98742,9,9
90,1,0.52306,0.38726,0.03306,0.22855,0.01288,0.00239,0.01560,0.00646,0.18017,0.01357,0.00431,0.00055,0.75687,0.00721,8,0
91,2,0.44659,0.65523,0.96991,0.19144,0.00195,0.00007,0.00255,0.97172,0.00229,0.00720,0.01037,0.00113,0.00087,0.00184,3,3
92,1,0.53315,0.37227,0.02812,0.19546,0.00618,0.00284,0.00236,0.00227,0.02152,0.00537,0.00137,0.00009,0.95010,0.00789,8,8
93,3,0.72629,0.19253,0.62924,0.98782,0.00018,0.00134,0.00276,0.00265,0.00161,0.00064,0.98854,0.00014,0.00040,0.00173,6,6
94,3,0.62747,0.48892,0.35180,0.12096,0.00014,0.00126,0.01206,0.03771,0.05534,0.86999,0.00297,0.01168,0.00748,0.00136,5,4
95,3,0.48568,0.55125,0.75670,0.19694,0.01490,0.00038,0.07936,0.82314,0.02483,0.02171,0.02303,0.00634,0.00500,0.00133,3,6
96,3,0.57227,0.75048,0.23393,0.61399,0.00209,0.00034,0.01382,0.01024,0.85531,0.00714,0.09244,0.00511,0.00676,0.00675,4,6
